運番,始発駅,行先駅,谷上,,発,新神,,発,三宮,県庁,大倉,湊川,上沢,長田,新長,板宿,妙法,着,名谷,,,運動,学園,伊川,神南,着,西神,
02,名谷,西神中央,,,,,,,,,,,,,,,,4,泊車,5:23,,5:25,5:27,5:29,5:31,3,5:34,
05,名谷,西神中央,,,,,,,,,,,,,,,,3,出庫,5:38,,5:40,5:42,5:44,5:46,2,5:49,
26,谷上,西神中央,泊車,5:18,5,,5:26,2,5:28,5:30,5:32,5:33,5:35,5:37,5:39,5:41,5:44,4,,5:47,,5:50,5:52,5:54,5:56,3,5:59,
06,新神戸,西神中央,,,,泊車,5:39,3,5:41,5:43,5:45,5:46,5:48,5:50,5:52,5:54,5:58,4,,6:01,,6:03,6:05,6:07,6:10,2,6:12,
27,谷上,西神中央,泊車,5:45,5,,5:53,2,5:55,5:57,5:59,6:01,6:02,6:04,6:06,6:08,6:12,4,,6:15,,6:17,6:20,6:22,6:24,2,6:27,
03,新神戸,西神中央,,,,,6:01,3,6:04,6:05,6:07,6:09,6:10,6:12,6:15,6:17,6:20,4,,6:23,,6:25,6:28,6:30,6:32,3,6:35,
07,名谷,西神中央,,,,,,,,,,,,,,,,3,出庫,6:31,,6:33,6:35,6:37,6:40,2,6:42,
01,谷上,西神中央,,6:06,5,,6:14,2,6:17,6:18,6:20,6:22,6:24,6:25,6:28,6:30,6:33,4,,6:36,,6:39,6:41,6:43,6:45,3,6:48,
02,新神戸,西神中央,,,,,6:24,3,6:27,6:29,6:30,6:32,6:34,6:35,6:38,6:40,6:44,4,,6:47,,6:49,6:51,6:53,6:56,2,6:58,
04,谷上,西神中央,,6:25,5,,6:33,2,6:36,6:37,6:39,6:41,6:42,6:44,6:47,6:49,6:52,4,,6:55,,6:57,7:00,7:02,7:04,3,7:07,
10,名谷,西神中央,,,,,,,,,,,,,,,,3,出庫,7:01,,7:03,7:06,7:08,7:10,2,7:13,
26,新神戸,西神中央,,,,,6:45,3,6:48,6:49,6:51,6:53,6:55,6:56,6:59,7:01,7:04,4,,7:07,,7:10,7:12,7:14,7:16,3,7:19,
05,谷上,西神中央,,6:43,5,,6:52,2,6:54,6:56,6:58,6:59,7:01,7:03,7:05,7:07,7:11,4,,7:14,,7:16,7:18,7:21,7:23,2,7:26,
12,名谷,西神中央,,,,,,,,,,,,,,,,3,出庫,7:20,,7:22,7:25,7:27,7:29,3,7:32,
08,新神戸,西神中央,,,,,7:04,3,7:07,7:08,7:10,7:12,7:13,7:15,7:18,7:20,7:23,4,,7:26,,7:28,7:31,7:33,7:35,2,7:38,
13,名谷,西神中央,,,,,,,,,,,,,,,,3,出庫,7:32,,7:34,7:37,7:39,7:41,3,7:44,
06,谷上,西神中央,,7:08,5,,7:16,2,7:18,7:20,7:22,7:24,7:25,7:27,7:29,7:31,7:35,4,,7:38,,7:40,7:43,7:45,7:47,2,7:50,
03,新神戸,西神中央,,,,,7:24,3,7:27,7:28,7:30,7:32,7:33,7:35,7:38,7:40,7:43,4,,7:46,,7:48,7:51,7:53,7:55,3,7:58,
27,谷上,西神中央,,7:23,5,,7:31,2,7:34,7:35,7:37,7:39,7:41,7:42,7:45,7:47,7:50,4,,7:53,,7:56,7:58,8:00,8:02,2,8:05,
09,谷上,西神中央,,7:30,5,,7:38,2,7:40,7:42,7:44,7:46,7:47,7:49,7:51,7:53,7:57,4,,8:00,,8:02,8:05,8:07,8:09,3,8:12,
01,新神戸,西神中央,,,,,7:43,3,7:46,7:47,7:49,7:51,7:52,7:54,7:57,7:59,8:02,4,,8:05,,8:07,8:10,8:12,8:14,3,8:17,入庫
15,名谷,西神中央,,,,,,,,,,,,,,,,3,出庫,8:09,,8:11,8:14,8:16,8:18,2,8:21,
07,谷上,西神中央,,7:42,5,,7:50,2,7:53,7:54,7:56,7:58,8:00,8:01,8:04,8:06,8:09,4,,8:13,,8:15,8:17,8:19,8:22,3,8:24,
04,新神戸,西神中央,,,,,7:57,3,7:59,8:01,8:03,8:04,8:06,8:08,8:10,8:12,8:16,4,,8:19,,8:21,8:23,8:26,8:28,3,8:31,
